code,icao,name,latitude,longitude,elevation,time_zone,city,state,country
PYO,SEPT,Putumayo,0.083333,-75.9,748,America/Guayaquil,Puerto Asis,Putumayo,EC
LGQ,SENL,Lago Agrio Airport,0.0919515,-76.8701330229573,980,America/Guayaquil,Nueva Loja,Sucumbios,EC
MEC,SEMT,Manta Airport,-0.94690845,-80.6794999097125,26,America/Guayaquil,Manta,Manabi,EC
MCH,SEMH,Machala,-3.266667,-79.98333,26,America/Guayaquil,Puerto Bolivar,El Oro,EC
XMS,SEMC,Macas,-2.29929435,-78.120776684084,3395,America/Guayaquil,Macas,Morona-Santiago,EC
MRR,SEMA,Macara,-4.383333,-79.933334,1374,America/Guayaquil,Macara,Loja,EC
LTX,SELT,Cotapaxi International Airport,-0.901111,-78.6025,9222,America/Guayaquil,Latacunga,Cotopaxi,EC
JIP,SEJI,Jipijapa,-1,-80.666664,239,America/Guayaquil,Montecristi,Manabi,EC
TNW,SEJD,Jumandy,62.666195,-153.7112,1234,America/Guayaquil,N/A,N/A,EC
IBB,SEII,General Villamil,-0.93954245,-90.9535492043573,32,Pacific/Galapagos,Puerto Villamil,Galapagos,EC
GYE,SEGU,Jose Joaquin de Olmedo Airport,-2.142654,-79.88032,36,America/Guayaquil,Eloy Alfaro,Guayas,EC
GPS,SEGS,Baltra Airport,-0.4548118,-90.2651111048306,180,Pacific/Galapagos,Puerto Ayora,Galapagos,EC
CUE,SECU,Mariscal Lamar International Airport,-2.889343,-78.98689,8284,America/Guayaquil,Cuenca,Azuay,EC
OCC,SECO,Coca Airport,-0.4567311,-76.9900203236099,774,America/Guayaquil,Puerto Francisco de Orellana,Orellana,EC
ATF,SEAM,Chachoan,-1.083333,-78.7,10603,America/Guayaquil,San Miguel de Salcedo,Cotopaxi,EC
JTA,SDZG,Pedro Teixeira Castelo Airport,-5.93260025,-40.2959781458301,1457,America/Fortaleza,Tauá,N/A,BR
ALT,SDWQ,Alenquer,-1.933333,-54.766666,3,America/Santarem,Alenquer,Para,BR
VOT,SDVG,Votuporanga,-20.433332,-49.88333,1692,America/Sao_Paulo,Votuporanga,Sao Paulo,BR
ITP,SDUN,Itaperuna,-21.219961,-41.8758298833333,331,America/Sao_Paulo,Itaperuna,Rio de Janeiro,BR
UBT,SDUB,Ubatuba,-23.4413356,-45.0745970487488,13,America/Sao_Paulo,Ubatuba,Sao Paulo,BR
JPY,SDTK,Paraty Airport,-23.224444,-44.720278,10,America/Sao_Paulo,Paraty,N/A,BR
